service_date,line,otp_numerator,otp_denominator,otp_score
2016-02-10,Kingston/Plymouth Line,24.0,24.0,1.0
2016-02-10,Lowell Line,49.0,52.0,0.9423076923076923
2016-02-10,Lowell Line Shuttle,49.0,52.0,0.9423076923076923
2016-02-10,Middleborough/Lakeville Line,24.0,24.0,1.0
2016-02-10,Needham Line,28.0,32.0,0.875
2016-02-10,Newburyport/Rockport Line,56.0,62.0,0.9032258064516129
2016-02-10,Orange Line,112162.76999999999,125152.70000000001,0.896207353097456
2016-02-10,Providence/Stoughton Line,63.0,73.0,0.863013698630137
2016-02-10,Red Line,184933.5,213006.64,0.8682053291859821
2016-02-10,Silver Line,7516.0,8668.0,0.8670973696354407
2016-02-10,Worcester Line Shuttle,90.0,96.0,0.9375
2016-02-11,Blue Line,23666.945,25020.842,0.945889231065845
2016-02-11,Fairmount Line,39.0,40.0,0.975
2016-02-11,Fitchburg Line,35.0,36.0,0.9722222222222222
2016-02-11,Framingham/Worcester Line,43.0,48.0,0.8958333333333334
2016-02-11,Franklin Line,32.0,37.0,0.8648648648648649
2016-02-11,Green Line,5172.9504,7383.2406,0.7006341361813402
2016-02-11,Greenbush Line,24.0,24.0,1.0
2016-02-11,Haverhill Line,42.0,48.0,0.875
2016-02-11,Kingston/Plymouth Line,24.0,24.0,1.0
2016-02-11,Lowell Line,51.0,52.0,0.9807692307692307
2016-02-11,Lowell Line Shuttle,51.0,52.0,0.9807692307692307
2016-02-11,Middleborough/Lakeville Line,24.0,24.0,1.0
2016-02-11,Needham Line,28.0,32.0,0.875
2016-02-11,Newburyport/Rockport Line,59.0,62.0,0.9516129032258065
2016-02-11,Orange Line,130983.96,141215.39,0.9275473445210185
2016-02-11,Providence/Stoughton Line,64.0,73.0,0.8767123287671232
2016-02-11,Red Line,194975.26,223598.43,0.8719885018870661
2016-02-11,Silver Line,6854.0,8099.0,0.8462773181874306
2016-02-11,Worcester Line Shuttle,86.0,96.0,0.8958333333333334
2016-02-12,Blue Line,22474.292,24540.979,0.9157862854615539
2016-02-12,Fairmount Line,39.0,40.0,0.975
2016-02-12,Fitchburg Line,33.0,36.0,0.9166666666666666
2016-02-12,Framingham/Worcester Line,47.0,48.0,0.9791666666666666
2016-02-12,Franklin Line,31.0,37.0,0.8378378378378378
2016-02-12,Green Line,5020.8349,7321.0889,0.6858043890165028
2016-02-12,Greenbush Line,24.0,24.0,1.0
2016-02-12,Haverhill Line,43.0,48.0,0.8958333333333334
2016-02-12,Kingston/Plymouth Line,22.0,24.0,0.9166666666666666
2016-02-12,Lowell Line,52.0,52.0,1.0
2016-02-12,Lowell Line Shuttle,52.0,52.0,1.0
2016-02-12,Middleborough/Lakeville Line,23.0,24.0,0.9583333333333334
2016-02-12,Needham Line,29.0,32.0,0.90625
2016-02-12,Newburyport/Rockport Line,55.0,62.0,0.8870967741935484
2016-02-12,Orange Line,123224.86,132046.98,0.9331895360272533
2016-02-12,Providence/Stoughton Line,64.0,73.0,0.8767123287671232
2016-02-12,Red Line,180886.27,211638.53999999998,0.8546943765535332
2016-02-12,Silver Line,6028.0,7265.0,0.8297315898141776
2016-02-12,Worcester Line Shuttle,94.0,96.0,0.9791666666666666
2016-02-13,Blue Line,17028.22,17518.9,0.971991392153617
2016-02-13,Fairmount Line,33.0,34.0,0.9705882352941176
2016-02-13,Fitchburg Line,15.0,17.0,0.8823529411764706
2016-02-13,Framingham/Worcester Line,16.0,18.0,0.8888888888888888
2016-02-13,Franklin Line,15.0,18.0,0.8333333333333334
2016-02-13,Green Line,4559.883400000001,6401.0207,0.7123681696576923
2016-02-13,Greenbush Line,16.0,16.0,1.0
