service_date,route_or_line,gated_entries
2022-02-23,Blue Line,28855.6
2022-02-23,Green Line,37926.52
2022-02-23,Orange Line,72908.68
2022-02-23,Red Line,86858.7
2022-02-23,Silver Line,4356.5
2022-02-24,Blue Line,27765.9
2022-02-24,Green Line,37299.54
2022-02-24,Orange Line,71055.5
2022-02-24,Red Line,84383.36
2022-02-24,Silver Line,4421.7
2022-02-25,Blue Line,16126.5
2022-02-25,Green Line,22078.32
2022-02-25,Orange Line,35914.15
2022-02-25,Red Line,43049.43
2022-02-25,Silver Line,2467.6
2022-02-26,Blue Line,18581.3
2022-02-26,Green Line,35036.52
2022-02-26,Orange Line,43864.48
2022-02-26,Red Line,49687.9
2022-02-26,Silver Line,2336.8
2022-02-27,Blue Line,14326.4
2022-02-27,Green Line,24638.71
2022-02-27,Orange Line,31657.52
2022-02-27,Red Line,38429.87
2022-02-27,Silver Line,2011.5
2022-02-28,Blue Line,26068.4
2022-02-28,Green Line,32496.85
2022-02-28,Orange Line,69523.48
2022-02-28,Red Line,81740.37
2022-02-28,Silver Line,4031.9
2022-03-01,Blue Line,28205.0
2022-03-01,Green Line,36054.2
2022-03-01,Orange Line,75881.49
2022-03-01,Red Line,90217.71
2022-03-01,Silver Line,4711.6
2022-03-02,Blue Line,27699.0
2022-03-02,Green Line,35701.92
2022-03-02,Orange Line,75621.52
2022-03-02,Red Line,89616.76
2022-03-02,Silver Line,4435.8
2022-03-03,Blue Line,29529.3
2022-03-03,Green Line,41002.2
2022-03-03,Orange Line,78394.63
2022-03-03,Red Line,93541.47
2022-03-03,Silver Line,4577.4
2022-03-04,Blue Line,28901.9
2022-03-04,Green Line,39822.41
2022-03-04,Orange Line,74530.71
2022-03-04,Red Line,89102.08
2022-03-04,Silver Line,4537.9
2022-03-05,Blue Line,20991.6
2022-03-05,Green Line,34903.95
2022-03-05,Orange Line,48700.35
2022-03-05,Red Line,48627.5
2022-03-05,Silver Line,2725.6
2022-03-06,Blue Line,15838.8
2022-03-06,Green Line,24790.01
2022-03-06,Orange Line,35324.75
2022-03-06,Red Line,33766.24
2022-03-06,Silver Line,2029.2
2022-03-07,Blue Line,27235.0
2022-03-07,Green Line,32568.1
2022-03-07,Orange Line,71703.98
2022-03-07,Red Line,84810.32
2022-03-07,Silver Line,4376.6
2022-03-08,Blue Line,29680.9
2022-03-08,Green Line,35582.64
2022-03-08,Orange Line,76632.02
2022-03-08,Red Line,95144.04
2022-03-08,Silver Line,5010.4
2022-03-09,Blue Line,28040.1
2022-03-09,Green Line,34246.48
2022-03-09,Orange Line,73325.51
2022-03-09,Red Line,92356.61
2022-03-09,Silver Line,4566.3
2022-03-10,Blue Line,30905.8
2022-03-10,Green Line,37961.77
2022-03-10,Orange Line,82718.6
2022-03-10,Red Line,97842.43
2022-03-10,Silver Line,4749.4
2022-03-11,Blue Line,30634.7
2022-03-11,Green Line,38474.57
2022-03-11,Orange Line,79289.52
2022-03-11,Red Line,94653.71
2022-03-11,Silver Line,4124.5
2022-03-12,Blue Line,18246.4
2022-03-12,Green Line,27402.52
2022-03-12,Orange Line,24894.96
2022-03-12,Red Line,39487.82
2022-03-12,Silver Line,2272.3
2022-03-13,Blue Line,15624.6
2022-03-13,Green Line,25305.14
2022-03-13,Orange Line,19443.41
2022-03-13,Red Line,35069.85
2022-03-13,Silver Line,2311.0
2022-03-14,Blue Line,28079.6
2022-03-14,Green Line,32567.18
2022-03-14,Orange Line,68063.32
2022-03-14,Red Line,81704.3
2022-03-14,Silver Line,4433.6
2022-03-15,Blue Line,30072.0
2022-03-15,Green Line,36048.23
2022-03-15,Orange Line,75376.67
2022-03-15,Red Line,90045.7
2022-03-15,Silver Line,4774.4
2022-03-16,Blue Line,28918.0
2022-03-16,Green Line,38063.78
2022-03-16,Orange Line,78687.15
2022-03-16,Red Line,90724.37
2022-03-16,Silver Line,5237.7
2022-03-17,Blue Line,29471.9
2022-03-17,Green Line,38593.97
2022-03-17,Orange Line,75435.32
2022-03-17,Red Line,93382.21
2022-03-17,Silver Line,5293.6
2022-03-18,Blue Line,29960.7
2022-03-18,Green Line,46346.0
2022-03-18,Orange Line,80578.24
2022-03-18,Red Line,95937.26
2022-03-18,Silver Line,4759.8
2022-03-19,Blue Line,19451.9
2022-03-19,Green Line,36132.62
2022-03-19,Orange Line,47457.11
2022-03-19,Red Line,52335.47
2022-03-19,Silver Line,2579.9
2022-03-20,Blue Line,19230.6
2022-03-20,Green Line,30589.68
2022-03-20,Orange Line,43201.659999999996
2022-03-20,Red Line,61603.16
2022-03-20,Silver Line,3596.9
2022-03-21,Blue Line,28026.6
2022-03-21,Green Line,37845.89
2022-03-21,Orange Line,72488.3
2022-03-21,Red Line,86516.01
2022-03-21,Silver Line,4599.2
2022-03-22,Blue Line,29817.6
2022-03-22,Green Line,41716.92
2022-03-22,Orange Line,81643.4
2022-03-22,Red Line,95825.58
2022-03-22,Silver Line,5299.5
2022-03-23,Blue Line,30787.8
2022-03-23,Green Line,41089.14
2022-03-23,Orange Line,82811.28
2022-03-23,Red Line,97518.98
2022-03-23,Silver Line,5274.8
2022-03-24,Blue Line,28390.1
2022-03-24,Green Line,41019.87
2022-03-24,Orange Line,74467.43000000001
2022-03-24,Red Line,90785.9
2022-03-24,Silver Line,5734.7
2022-03-25,Blue Line,31635.3
2022-03-25,Green Line,45190.19
2022-03-25,Orange Line,78162.62
2022-03-25,Red Line,94346.09
2022-03-25,Silver Line,4931.8
2022-03-26,Blue Line,22843.9
2022-03-26,Green Line,41972.28
2022-03-26,Orange Line,30735.71
2022-03-26,Red Line,59286.71
2022-03-26,Silver Line,3210.4
2022-03-27,Blue Line,17160.6
2022-03-27,Green Line,25584.94
2022-03-27,Orange Line,21859.41
2022-03-27,Red Line,44915.45
2022-03-27,Silver Line,2783.6
2022-03-28,Blue Line,26628.4
2022-03-28,Green Line,25139.38
2022-03-28,Orange Line,41233.41
2022-03-28,Red Line,83433.71
2022-03-28,Silver Line,4924.1
2022-03-29,Blue Line,29155.4
2022-03-29,Green Line,29487.75
2022-03-29,Orange Line,46118.71
2022-03-29,Red Line,92766.84
2022-03-29,Silver Line,5272.3
2022-03-30,Blue Line,30258.0
2022-03-30,Green Line,33451.49
2022-03-30,Orange Line,68185.75
2022-03-30,Red Line,96976.66
2022-03-30,Silver Line,5227.1
2022-03-31,Blue Line,30567.3
2022-03-31,Green Line,33339.92
2022-03-31,Orange Line,69337.85
2022-03-31,Red Line,99188.33
2022-03-31,Silver Line,5286.6
2022-04-01,Blue Line,30682.0
2022-04-01,Green Line,38175.17
2022-04-01,Orange Line,75867.26
2022-04-01,Red Line,95571.87
2022-04-01,Silver Line,4436.7
2022-04-02,Blue Line,22861.4
2022-04-02,Green Line,36981.32
2022-04-02,Orange Line,52421.98
2022-04-02,Red Line,55313.0
2022-04-02,Silver Line,2034.3
2022-04-03,Blue Line,15940.3
2022-04-03,Green Line,22979.46
2022-04-03,Orange Line,35217.25
2022-04-03,Red Line,37253.69
2022-04-03,Silver Line,1627.3
2022-04-04,Blue Line,28581.3
2022-04-04,Green Line,31066.829999999998
2022-04-04,Orange Line,70500.6
2022-04-04,Red Line,87756.97
2022-04-04,Silver Line,4743.3
2022-04-05,Blue Line,30766.9
2022-04-05,Green Line,33803.62
2022-04-05,Orange Line,74749.79
2022-04-05,Red Line,99445.29
2022-04-05,Silver Line,5306.4
2022-04-06,Blue Line,29250.0
2022-04-06,Green Line,34777.48
2022-04-06,Orange Line,75634.81
2022-04-06,Red Line,97055.01
2022-04-06,Silver Line,5470.7
2022-04-07,Blue Line,30341.5
2022-04-07,Green Line,36731.07
2022-04-07,Orange Line,80378.66
2022-04-07,Red Line,100175.77
2022-04-07,Silver Line,5583.0
2022-04-08,Blue Line,31374.6
2022-04-08,Green Line,37488.63
2022-04-08,Orange Line,76236.87
2022-04-08,Red Line,94992.9
2022-04-08,Silver Line,4858.0
2022-04-09,Blue Line,22614.8
2022-04-09,Green Line,35346.17
2022-04-09,Orange Line,47542.72
2022-04-09,Red Line,52070.51
2022-04-09,Silver Line,3104.8
2022-04-10,Blue Line,17635.6
2022-04-10,Green Line,26340.5
2022-04-10,Orange Line,33272.88
2022-04-10,Red Line,39747.52
2022-04-10,Silver Line,2687.5
2022-04-11,Blue Line,29641.1
2022-04-11,Green Line,36698.37
2022-04-11,Orange Line,70675.69
2022-04-11,Red Line,90117.44
2022-04-11,Silver Line,4795.4
2022-04-12,Blue Line,29471.3
2022-04-12,Green Line,40966.65
2022-04-12,Orange Line,80255.88
2022-04-12,Red Line,100750.27
2022-04-12,Silver Line,5342.9
2022-04-13,Blue Line,31718.5
2022-04-13,Green Line,41849.09
2022-04-13,Orange Line,79636.09
2022-04-13,Red Line,102083.82
2022-04-13,Silver Line,5407.5
2022-04-14,Blue Line,30159.0
2022-04-14,Green Line,43783.26
2022-04-14,Orange Line,78884.79
2022-04-14,Red Line,98886.95
2022-04-14,Silver Line,5551.0
2022-04-15,Blue Line,32188.6
2022-04-15,Green Line,55875.88
2022-04-15,Orange Line,74719.7
2022-04-15,Red Line,94382.32
2022-04-15,Silver Line,4866.5
2022-04-16,Blue Line,26067.0
2022-04-16,Green Line,58309.73
2022-04-16,Orange Line,57583.92
2022-04-16,Red Line,63845.35
2022-04-16,Silver Line,3622.0
2022-04-17,Blue Line,19380.7
2022-04-17,Green Line,45857.28
2022-04-17,Orange Line,40608.13
2022-04-17,Red Line,46558.19
2022-04-17,Silver Line,3220.7
2022-04-18,Blue Line,29056.5
2022-04-18,Green Line,56739.54
2022-04-18,Orange Line,70439.41
2022-04-18,Red Line,81660.75
2022-04-18,Silver Line,5051.8
2022-04-19,Blue Line,30491.6
2022-04-19,Green Line,49178.06
2022-04-19,Orange Line,75604.08
2022-04-19,Red Line,95325.56
2022-04-19,Silver Line,6050.7
2022-04-20,Blue Line,32422.0
2022-04-20,Green Line,52597.17
2022-04-20,Orange Line,82196.5
2022-04-20,Red Line,99718.53
2022-04-20,Silver Line,5652.8
2022-04-21,Blue Line,31253.3
2022-04-21,Green Line,49813.01
2022-04-21,Orange Line,77228.95
2022-04-21,Red Line,98012.04
2022-04-21,Silver Line,5449.7
2022-04-22,Blue Line,31799.1
2022-04-22,Green Line,47452.28
2022-04-22,Orange Line,74836.02
2022-04-22,Red Line,94098.9
2022-04-22,Silver Line,6446.7
2022-04-23,Blue Line,24002.8
2022-04-23,Green Line,45105.45
2022-04-23,Orange Line,55839.22
2022-04-23,Red Line,33778.53
2022-04-23,Silver Line,4456.0
2022-04-24,Blue Line,16499.4
2022-04-24,Green Line,26352.23
2022-04-24,Orange Line,34267.17
2022-04-24,Red Line,30987.8
2022-04-24,Silver Line,3130.4
2022-04-25,Blue Line,16646.6
2022-04-25,Green Line,32513.47
2022-04-25,Orange Line,70561.06
2022-04-25,Red Line,84151.07
2022-04-25,Silver Line,4867.8
2022-04-26,Blue Line,14570.2
2022-04-26,Green Line,35388.23
2022-04-26,Orange Line,78034.47
2022-04-26,Red Line,92592.4
2022-04-26,Silver Line,5725.7
2022-04-27,Blue Line,12116.4
2022-04-27,Green Line,36375.91
2022-04-27,Orange Line,76776.95
2022-04-27,Red Line,96494.44
2022-04-27,Silver Line,5651.3
2022-04-28,Blue Line,11606.6
2022-04-28,Green Line,38818.7
2022-04-28,Orange Line,79611.77
2022-04-28,Red Line,96644.53
2022-04-28,Silver Line,5882.4
2022-04-29,Blue Line,11493.7
2022-04-29,Green Line,39300.69
2022-04-29,Orange Line,72336.74
2022-04-29,Red Line,90369.17
2022-04-29,Silver Line,4971.7
2022-04-30,Blue Line,8333.7
2022-04-30,Green Line,34680.24
2022-04-30,Orange Line,48470.2
2022-04-30,Red Line,56603.16
2022-04-30,Silver Line,2958.7
2022-05-01,Blue Line,6348.2
2022-05-01,Green Line,27597.13
2022-05-01,Orange Line,38760.27
2022-05-01,Red Line,45240.2
2022-05-01,Silver Line,2576.2
2022-05-02,Blue Line,10239.5
2022-05-02,Green Line,31371.89
2022-05-02,Orange Line,67291.64
2022-05-02,Red Line,84198.47
2022-05-02,Silver Line,4993.5
2022-05-03,Blue Line,11556.5
2022-05-03,Green Line,41028.53
2022-05-03,Orange Line,79187.85
2022-05-03,Red Line,97392.92
2022-05-03,Silver Line,3985.2
2022-05-04,Blue Line,10782.1
2022-05-04,Green Line,39215.27
2022-05-04,Orange Line,73738.02
2022-05-04,Red Line,94285.71
2022-05-04,Silver Line,5716.9
2022-05-05,Blue Line,11632.4
2022-05-05,Green Line,44849.62
2022-05-05,Orange Line,81712.99
2022-05-05,Red Line,104329.29
2022-05-05,Silver Line,6011.7
2022-05-06,Blue Line,11330.8
2022-05-06,Green Line,45370.57
2022-05-06,Orange Line,78004.99
2022-05-06,Red Line,94851.24
2022-05-06,Silver Line,4957.4
2022-05-07,Blue Line,7960.3
2022-05-07,Green Line,38876.98
2022-05-07,Orange Line,48575.44
2022-05-07,Red Line,57377.08
2022-05-07,Silver Line,3011.2
2022-05-08,Blue Line,5929.6
2022-05-08,Green Line,29004.26
2022-05-08,Orange Line,37224.1
2022-05-08,Red Line,42410.14
2022-05-08,Silver Line,2528.9
2022-05-09,Blue Line,11042.1
2022-05-09,Green Line,33330.96
2022-05-09,Orange Line,71141.51
2022-05-09,Red Line,86559.43
2022-05-09,Silver Line,5005.0
2022-05-10,Blue Line,11553.0
2022-05-10,Green Line,36914.88
2022-05-10,Orange Line,77534.81
2022-05-10,Red Line,97442.81
2022-05-10,Silver Line,5774.5
2022-05-11,Blue Line,11314.7
2022-05-11,Green Line,38193.4
2022-05-11,Orange Line,79263.92
2022-05-11,Red Line,97435.38
2022-05-11,Silver Line,6129.6
2022-05-12,Blue Line,11017.3
2022-05-12,Green Line,38165.38
2022-05-12,Orange Line,78188.41
2022-05-12,Red Line,98103.31
2022-05-12,Silver Line,5445.6
2022-05-13,Blue Line,11143.6
2022-05-13,Green Line,40961.95
2022-05-13,Orange Line,73300.0
2022-05-13,Red Line,89025.05
2022-05-13,Silver Line,4611.4
2022-05-14,Blue Line,8548.1
2022-05-14,Green Line,36951.89
2022-05-14,Orange Line,52512.59
2022-05-14,Red Line,66077.72
2022-05-14,Silver Line,3384.7
2022-05-15,Blue Line,6306.3
2022-05-15,Green Line,25621.33
2022-05-15,Orange Line,37132.56
2022-05-15,Red Line,45876.21
2022-05-15,Silver Line,2770.6
2022-05-16,Blue Line,10656.0
2022-05-16,Green Line,36766.94
2022-05-16,Orange Line,68750.02
2022-05-16,Red Line,85142.34
2022-05-16,Silver Line,5102.7
2022-05-17,Blue Line,11249.9
2022-05-17,Green Line,38497.02
2022-05-17,Orange Line,74990.85
2022-05-17,Red Line,95985.13
2022-05-17,Silver Line,5670.1
2022-05-18,Blue Line,27372.3
2022-05-18,Green Line,44587.87
2022-05-18,Orange Line,80835.66
2022-05-18,Red Line,98185.27
2022-05-18,Silver Line,5688.9
2022-05-19,Blue Line,30023.0
2022-05-19,Green Line,44248.14
2022-05-19,Orange Line,75751.54
2022-05-19,Red Line,96552.42
2022-05-19,Silver Line,5665.9
2022-05-20,Blue Line,31999.2
2022-05-20,Green Line,47332.01
2022-05-20,Orange Line,76930.07
2022-05-20,Red Line,93777.82
2022-05-20,Silver Line,4968.9
2022-05-21,Blue Line,26714.3
2022-05-21,Green Line,46090.41
2022-05-21,Orange Line,55005.36
2022-05-21,Red Line,61475.23
2022-05-21,Silver Line,3262.7
2022-05-22,Blue Line,18300.6
2022-05-22,Green Line,33686.47
2022-05-22,Orange Line,36922.81
2022-05-22,Red Line,44820.62
2022-05-22,Silver Line,2888.5
2022-05-23,Blue Line,25992.6
2022-05-23,Green Line,37566.79
2022-05-23,Orange Line,73192.21
2022-05-23,Red Line,87976.9
2022-05-23,Silver Line,4737.5
2022-05-24,Blue Line,27789.6
2022-05-24,Green Line,39384.27
2022-05-24,Orange Line,76580.22
2022-05-24,Red Line,97621.81
2022-05-24,Silver Line,5818.1
2022-05-25,Blue Line,28736.5
2022-05-25,Green Line,39069.74
2022-05-25,Orange Line,78156.83
2022-05-25,Red Line,102735.23
2022-05-25,Silver Line,5890.7
2022-05-26,Blue Line,29151.6
2022-05-26,Green Line,43457.98
2022-05-26,Orange Line,79298.88
2022-05-26,Red Line,108089.54
2022-05-26,Silver Line,6060.0
2022-05-27,Blue Line,30032.1
2022-05-27,Green Line,51606.56
2022-05-27,Orange Line,80035.09
2022-05-27,Red Line,110854.95
2022-05-27,Silver Line,5696.3
2022-05-28,Blue Line,20966.4
2022-05-28,Green Line,45333.2
2022-05-28,Orange Line,49276.55
2022-05-28,Red Line,73970.15
2022-05-28,Silver Line,3412.7
2022-05-29,Blue Line,20683.2
2022-05-29,Green Line,41236.96
2022-05-29,Orange Line,45679.25
2022-05-29,Red Line,79759.19
2022-05-29,Silver Line,3672.4
2022-05-30,Blue Line,19549.5
2022-05-30,Green Line,31130.6
2022-05-30,Orange Line,39522.2
2022-05-30,Red Line,50268.5
2022-05-30,Silver Line,3356.2
2022-05-31,Blue Line,28370.3
2022-05-31,Green Line,41777.49
2022-05-31,Orange Line,76014.2
2022-05-31,Red Line,92801.71
2022-05-31,Silver Line,5847.3
2022-06-01,Blue Line,28365.0
2022-06-01,Green Line,42149.65
2022-06-01,Orange Line,78946.33
2022-06-01,Red Line,94658.22
2022-06-01,Silver Line,5733.8
2022-06-02,Blue Line,28994.1
2022-06-02,Green Line,37486.32
2022-06-02,Orange Line,81604.81
2022-06-02,Red Line,99272.97
2022-06-02,Silver Line,5962.8
2022-06-03,Blue Line,28052.8
2022-06-03,Green Line,37996.59
2022-06-03,Orange Line,73743.38
2022-06-03,Red Line,88725.63
2022-06-03,Silver Line,4786.6
2022-06-04,Blue Line,22203.9
2022-06-04,Green Line,37672.45
2022-06-04,Orange Line,54144.91
2022-06-04,Red Line,62010.74
2022-06-04,Silver Line,3494.0
2022-06-05,Blue Line,17974.0
2022-06-05,Green Line,27999.15
2022-06-05,Orange Line,38967.19
2022-06-05,Red Line,47684.66
2022-06-05,Silver Line,2782.0
2022-06-06,Blue Line,27978.9
2022-06-06,Green Line,37168.32
2022-06-06,Orange Line,73893.91
2022-06-06,Red Line,89552.07
2022-06-06,Silver Line,5343.8
2022-06-07,Blue Line,30740.9
2022-06-07,Green Line,47270.03
2022-06-07,Orange Line,83521.58
2022-06-07,Red Line,102775.79
2022-06-07,Silver Line,6416.7
2022-06-08,Blue Line,26091.8
