service_date,line,estimated_boardings,ObjectId
2020/08/05 04:00:00+00,Middleborough/Lakeville,955,277
2020/08/05 04:00:00+00,Lowell,832,278
2020/08/05 04:00:00+00,Haverhill,703,279
2020/08/05 04:00:00+00,Kingston,730,280
2020/08/05 04:00:00+00,Needham,657,281
2020/08/05 04:00:00+00,Fitchburg,692,282
2020/08/05 04:00:00+00,Greenbush,311.5,283
2020/08/05 04:00:00+00,Fairmount,470,284
2020/08/06 04:00:00+00,Providence/Stoughton,3275,285
2020/08/06 04:00:00+00,Newburyport/Rockport,1550.5,286
2020/08/06 04:00:00+00,Framingham/Worcester,1474.5,287
2020/08/06 04:00:00+00,Franklin/Foxboro,1400.5,288
2020/08/06 04:00:00+00,Middleborough/Lakeville,767.5,289
2020/08/06 04:00:00+00,Lowell,972,290
2020/08/06 04:00:00+00,Haverhill,794,291
2020/08/06 04:00:00+00,Kingston,693,292
2020/08/06 04:00:00+00,Needham,664,293
2020/08/06 04:00:00+00,Fitchburg,789,294
2020/08/06 04:00:00+00,Greenbush,324,295
2020/08/06 04:00:00+00,Fairmount,412,296
2020/08/07 04:00:00+00,Providence/Stoughton,3303.5,297
2020/08/07 04:00:00+00,Newburyport/Rockport,1721,298
2020/08/07 04:00:00+00,Framingham/Worcester,1637.5,299
2020/08/07 04:00:00+00,Franklin/Foxboro,1320.5,300
2020/07/28 04:00:00+00,Providence/Stoughton,2844,301
2020/07/28 04:00:00+00,Newburyport/Rockport,1523.5,302
2020/07/28 04:00:00+00,Framingham/Worcester,1508.5,303
2020/07/28 04:00:00+00,Franklin/Foxboro,1417,304
2020/07/28 04:00:00+00,Middleborough/Lakeville,1025,305
2020/07/28 04:00:00+00,Lowell,921,306
2020/07/28 04:00:00+00,Haverhill,656,307
2020/07/28 04:00:00+00,Kingston,702,308
2020/07/28 04:00:00+00,Needham,501,309
2020/07/28 04:00:00+00,Fitchburg,617.5,310
2020/07/28 04:00:00+00,Greenbush,295,311
2020/07/28 04:00:00+00,Fairmount,370.5,312
2020/07/29 04:00:00+00,Providence/Stoughton,2640.5,313
2020/07/29 04:00:00+00,Newburyport/Rockport,1560.5,314
2020/07/29 04:00:00+00,Framingham/Worcester,1470,315
2020/07/29 04:00:00+00,Franklin/Foxboro,1343,316
2020/07/29 04:00:00+00,Middleborough/Lakeville,994,317
2020/07/29 04:00:00+00,Lowell,926.5,318
2020/07/29 04:00:00+00,Haverhill,666,319
2020/07/29 04:00:00+00,Kingston,708,320
2020/07/29 04:00:00+00,Needham,551.5,321
2020/07/29 04:00:00+00,Fitchburg,597,322
2020/07/29 04:00:00+00,Greenbush,329,323
2020/07/29 04:00:00+00,Fairmount,380,324
2020/07/30 04:00:00+00,Providence/Stoughton,2650.5,325
2020/07/30 04:00:00+00,Newburyport/Rockport,1419,326
2020/07/30 04:00:00+00,Framingham/Worcester,1443,327
2020/07/30 04:00:00+00,Franklin/Foxboro,1434.5,328
2020/07/30 04:00:00+00,Middleborough/Lakeville,1068,329
2020/07/30 04:00:00+00,Lowell,878,330
2020/07/30 04:00:00+00,Haverhill,630,331
2020/07/30 04:00:00+00,Kingston,758.5,332
2020/07/30 04:00:00+00,Needham,623,333
2020/07/30 04:00:00+00,Fitchburg,563,334
2020/07/30 04:00:00+00,Greenbush,385.5,335
2020/07/30 04:00:00+00,Fairmount,419,336
2020/07/31 04:00:00+00,Providence/Stoughton,2957.5,337
2020/07/31 04:00:00+00,Newburyport/Rockport,1349.5,338
2020/07/31 04:00:00+00,Framingham/Worcester,1394.5,339
