service_date,line,est_ridership,num_slow_zones,total_track_pct,total_miles_affected,otp_score,day_of_week,month,num_alerts
2023-04-22,orange,43418.89,37.0,0.23526357183189303,5.302840909090906,0.9373595968109972,Saturday,April,1.0
2023-04-22,red,28604.34,104.0,0.26292161224137167,12.465113636363629,0.8058390003949688,Saturday,April,0.0
2023-04-23,blue,17621.4,22.0,0.4389674995143724,5.478314393939392,0.8837629110759979,Sunday,April,0.0
2023-04-23,green,26702.039929,68.0,0.18213600161645913,9.833522727272724,0.7969897633003179,Sunday,April,2.0
2023-04-23,orange,25883.81,37.0,0.23526357183189303,5.302840909090906,0.9699919782389211,Sunday,April,1.0
2023-04-23,red,16949.25,104.0,0.26292161224137167,12.465113636363629,0.8027688836491969,Sunday,April,0.0
2023-04-24,blue,30997.0,22.0,0.4389674995143724,5.478314393939392,0.8710311053392169,Monday,April,0.0
2023-04-24,green,44418.606584,68.0,0.18213600161645913,9.833522727272724,0.8117298775771813,Monday,April,0.0
2023-04-24,orange,66209.76,37.0,0.23526357183189303,5.302840909090906,0.886825162779032,Monday,April,2.0
2023-04-24,red,81629.7,105.0,0.26451953621854046,12.540871212121205,0.9108152322790254,Monday,April,1.0
2023-04-25,blue,33128.2,22.0,0.4389674995143724,5.478314393939392,0.8877904740175965,Tuesday,April,0.0
2023-04-25,green,53770.573259,68.0,0.18213600161645913,9.833522727272724,0.8415497648867157,Tuesday,April,0.0
2023-04-25,orange,78929.66,36.0,0.21392104272538884,4.821780303030301,0.9023649093630021,Tuesday,April,2.0
2023-04-25,red,94030.7,105.0,0.26451953621854046,12.540871212121205,0.9074360403309735,Tuesday,April,1.0
2023-04-26,blue,33006.8,22.0,0.4389674995143724,5.478314393939392,0.8803196436719718,Wednesday,April,0.0
2023-04-26,green,53933.00992,68.0,0.18213600161645913,9.833522727272724,0.8384654012674425,Wednesday,April,0.0
2023-04-26,orange,78833.16,35.0,0.20971975746820304,4.727083333333331,0.907134814425367,Wednesday,April,1.0
2023-04-26,red,95526.53,104.0,0.2633210932356639,12.484053030303023,0.9340702181203434,Wednesday,April,1.0
2023-04-27,blue,32998.1,22.0,0.4389674995143724,5.478314393939392,0.8497193090022439,Thursday,April,0.0
2023-04-27,green,54328.233254,67.0,0.18143441265778554,9.795643939393937,0.8232729475710815,Thursday,April,0.0
2023-04-27,orange,74522.86,35.0,0.20971975746820304,4.727083333333331,0.9220512394365372,Thursday,April,1.0
2023-04-27,red,93910.44,104.0,0.2633210932356639,12.484053030303023,0.9160915216322585,Thursday,April,1.0
2023-04-28,blue,34717.9,21.0,0.4268268623737354,5.326799242424241,0.879546974330715,Friday,April,0.0
2023-04-28,green,60211.823244,67.0,0.18143441265778554,9.795643939393937,0.8097650563221331,Friday,April,1.0
2023-04-28,orange,71528.2,33.0,0.20167009491543503,4.545643939393938,0.9552990001174292,Friday,April,0.0
2023-04-28,red,86295.51,99.0,0.24614341048109895,11.669659090909084,0.9112057217274181,Friday,April,2.0
2023-04-29,blue,25600.3,21.0,0.4268268623737354,5.326799242424241,0.8686254609852045,Saturday,April,1.0
2023-04-29,green,49067.226578,67.0,0.18143441265778554,9.795643939393937,0.8041348994466235,Saturday,April,5.0
2023-04-29,orange,47812.98,30.0,0.1820416901938627,4.103219696969695,0.9734302701439344,Saturday,April,0.0
2023-04-29,red,29284.56,98.0,0.24374652451534573,11.55602272727272,0.8214636226939456,Saturday,April,1.0
2023-04-30,blue,17876.1,21.0,0.4268268623737354,5.326799242424241,0.8451357228746416,Sunday,April,0.0
2023-04-30,green,32603.063268,67.0,0.18143441265778554,9.795643939393937,0.7934819773349115,Sunday,April,2.0
2023-04-30,orange,32584.11,30.0,0.1820416901938627,4.103219696969695,0.9604193562902636,Sunday,April,0.0
2023-04-30,red,18491.56,97.0,0.23535742363520923,11.15829545454545,0.8329425426259822,Sunday,April,0.0
2023-05-01,blue,30745.7,20.0,0.325149027,4.057859853,0.870149240031273,Monday,May,0.0
2023-05-01,green,49982.119932,67.0,0.181437667,9.795643948,0.7758495952549823,Monday,May,4.0
2023-05-01,orange,70548.93,30.0,0.16271421,3.667613639,0.938999273310601,Monday,May,1.0
2023-05-01,red,81288.35,97.0,0.231349543,10.968901531,0.8947990193175521,Monday,May,1.0
2023-05-02,blue,32065.4,21.0,0.34487756199999997,4.304071974,0.8251098555903915,Tuesday,May,0.0
2023-05-02,green,55383.916583,67.0,0.181437667,9.795643948,0.8155454258933216,Tuesday,May,2.0
2023-05-02,orange,74285.62,30.0,0.16271421,3.667613639,0.9724638181785634,Tuesday,May,1.0
2023-05-02,red,93648.53,97.0,0.231349543,10.968901531,0.916706785227128,Tuesday,May,1.0
2023-05-03,blue,33318.2,21.0,0.34487756199999997,4.304071974,0.8524631048687302,Wednesday,May,0.0
2023-05-03,green,58812.073247,67.0,0.181437667,9.795643948,0.8166231107585918,Wednesday,May,2.0
2023-05-03,orange,79582.67,30.0,0.16271421,3.667613639,0.9547885117393714,Wednesday,May,0.0
2023-05-03,red,94476.29,92.0,0.215769784,10.230265166,0.9004572189230381,Wednesday,May,1.0
2023-05-04,blue,32692.0,21.0,0.34487756199999997,4.304071974,0.8068845424212131,Thursday,May,0.0
2023-05-04,green,60306.619919,67.0,0.181437667,9.795643948,0.8074855577371779,Thursday,May,0.0
2023-05-04,orange,76270.02,30.0,0.16271421,3.667613639,0.935657606259111,Thursday,May,0.0
2023-05-04,red,94836.86,92.0,0.215769784,10.230265166,0.9277226437145016,Thursday,May,0.0
2023-05-05,blue,34279.9,21.0,0.34487756199999997,4.304071974,0.8738947670290139,Friday,May,0.0
2023-05-05,green,53974.469912,67.0,0.181437667,9.795643948,0.8166895858903012,Friday,May,3.0
2023-05-05,orange,69291.98,28.0,0.16103420999999998,3.629734851,0.8872512533597019,Friday,May,1.0
2023-05-05,red,85336.45,94.0,0.219365113,10.400719712,0.8704238990936323,Friday,May,2.0
2023-05-06,blue,30319.8,21.0,0.34487756199999997,4.304071974,0.8352506776075882,Saturday,May,0.0
2023-05-06,green,47831.829915,67.0,0.181437667,9.795643948,0.8033351820561658,Saturday,May,0.0
2023-05-06,orange,52277.49,28.0,0.16103420999999998,3.629734851,0.9356932838778487,Saturday,May,0.0
2023-05-06,red,39662.58,94.0,0.219365113,10.400719712,0.8297736665286737,Saturday,May,0.0
2023-05-07,blue,24569.3,21.0,0.34487756199999997,4.304071974,0.8710808176175949,Sunday,May,0.0
2023-05-07,green,35426.069935,67.0,0.181437667,9.795643948,0.8183707395020451,Sunday,May,2.0
2023-05-07,orange,38270.59,28.0,0.16103420999999998,3.629734851,0.9784179252857684,Sunday,May,0.0
2023-05-07,red,33765.54,94.0,0.219365113,10.400719712,0.8049086812535792,Sunday,May,0.0
2023-05-08,blue,34439.0,21.0,0.34487756199999997,4.304071974,0.865263564057537,Monday,May,1.0
2023-05-08,green,44371.506584,67.0,0.181437667,9.795643948,0.8191851257152072,Monday,May,0.0
2023-05-08,orange,68504.2,28.0,0.16103420999999998,3.629734851,0.9236458166249544,Monday,May,1.0
2023-05-08,red,80534.86,94.0,0.219365113,10.400719712,0.91135364124544,Monday,May,1.0
2023-05-09,blue,37093.2,19.0,0.341842404,4.266193186,0.8903745081678739,Tuesday,May,0.0
